date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:11:54	81892/81892	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2019:12:12%20GMT	https://fullhotmart.kpages.online/belladimua	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/fullhotmart.kpages.online/belladimua.html	(from )
16:11:56	23602/23602	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2019:12:14%20GMT	https://fullhotmart.kpages.online/robots.txt		(from )
16:11:56	8248/8248	---MCZ	200	added ('OK')	application/javascript	etag:W/%227fa0742a2a5c38aa8430ec429c1c8031%22	https://landing-cdn.klickpages.com.br/landing-atoms/saas-pages-landing-atoms.esm.js	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/landing-cdn.klickpages.com.br/landing-atoms/saas-pages-landing-atoms.esm.js	(from https://fullhotmart.kpages.online/belladimua)
16:11:56	5268/5268	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ba7f40fd2670be7b3334d9e95c0fa883%22	https://landing-cdn.klickpages.com.br/landing-atoms/saas-pages-landing-atoms.js	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/landing-cdn.klickpages.com.br/landing-atoms/saas-pages-landing-atoms.js	(from https://fullhotmart.kpages.online/belladimua)
16:11:57	2210/2210	---M-Z	200	added ('OK')	application/javascript	etag:W/%228a2-ngY/Y9MDkyf1oyGHRNHDqclx9cM%22	https://cdn.jsdelivr.net/npm/lazyload@2.0.0-rc.2/lazyload.min.js	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/cdn.jsdelivr.net/npm/lazyload@2.0.0-rc.2/lazyload.min.js	(from https://fullhotmart.kpages.online/belladimua)
16:11:59	1715/1715	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%22bef25e6a1f31daddecbe322166c89d11%22	http://static-public.klickpages.com.br/uploads/media/file/5351042/thumb_img_3481_(1).jpg	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5351042/thumb_img_3481_(1).jpg	(from https://fullhotmart.kpages.online/belladimua)
16:12:02	34245/34245	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%2269e91aa65b4dd254d189d7263e18c837%22	http://static-public.klickpages.com.br/uploads/media/file/5350979/thumb_flyer.png	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5350979/thumb_flyer.png	(from https://fullhotmart.kpages.online/belladimua)
16:12:05	32846/32846	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%22b37965629d4e72516b3fa0cde2460769%22	http://static-public.klickpages.com.br/uploads/media/file/5355177/thumb_resul2.png	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5355177/thumb_resul2.png	(from https://fullhotmart.kpages.online/belladimua)
16:12:05	34506/34506	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%224a9aaee05fe3ec2132fba4d99ac202b9%22	http://static-public.klickpages.com.br/uploads/media/file/5357052/thumb_resul1.png	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5357052/thumb_resul1.png	(from https://fullhotmart.kpages.online/belladimua)
16:12:07	2447/2447	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%2259c9496c953a464e94a917d9b578265c%22	http://static-public.klickpages.com.br/uploads/media/file/5358241/thumb_111.jpeg	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5358241/thumb_111.jpeg	(from https://fullhotmart.kpages.online/belladimua)
16:12:07	31121/31121	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%229e3e8788de36ba41772fcd01603d4ba6%22	http://static-public.klickpages.com.br/uploads/media/file/5357086/thumb_4a.png	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5357086/thumb_4a.png	(from https://fullhotmart.kpages.online/belladimua)
16:12:08	2460/2460	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%22e3d0cdfe56be5b4a92f29871956907ec%22	http://static-public.klickpages.com.br/uploads/media/file/5358243/thumb_222.jpeg	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5358243/thumb_222.jpeg	(from https://fullhotmart.kpages.online/belladimua)
16:12:08	2453/2453	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%22fc871174f998dc8b95133b883f5f6bcf%22	http://static-public.klickpages.com.br/uploads/media/file/5358244/thumb_333.jpeg	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5358244/thumb_333.jpeg	(from https://fullhotmart.kpages.online/belladimua)
16:12:09	28534/28534	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%223e7d7dbd5d07c5e6437eef6f0ec44467%22	http://static-public.klickpages.com.br/uploads/media/file/5357084/thumb_3a.png	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5357084/thumb_3a.png	(from https://fullhotmart.kpages.online/belladimua)
16:12:09	2501/2501	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%227d18c6b84e65162aada60a45f9623b1e%22	http://static-public.klickpages.com.br/uploads/media/file/5358245/thumb_444.jpeg	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5358245/thumb_444.jpeg	(from https://fullhotmart.kpages.online/belladimua)
16:12:09	1545/1545	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%229b22fa1ae4768dd312f949f290e4a2f1%22	http://static-public.klickpages.com.br/uploads/media/file/5358299/thumb_pago-1.png	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5358299/thumb_pago-1.png	(from https://fullhotmart.kpages.online/belladimua)
16:12:10	1918/1918	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%22729bd29fbe1cf3e9c7603bfe3cb4b582%22	http://static-public.klickpages.com.br/uploads/media/file/5360676/thumb_img_0880-1-min3.png	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5360676/thumb_img_0880-1-min3.png	(from https://fullhotmart.kpages.online/belladimua)
16:12:10	2158/2158	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%222353e26764fcf136061a376d81922035%22	http://static-public.klickpages.com.br/uploads/media/file/5360674/thumb_img_0881-1-min.png	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5360674/thumb_img_0881-1-min.png	(from https://fullhotmart.kpages.online/belladimua)
16:12:11	2457/2457	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%2259361e9f5348659d4006a1cf40e275a6%22	http://static-public.klickpages.com.br/uploads/media/file/5360677/thumb_img_0878-1-min4.png	C:/My%20Web%20Sites/BDM%20Pagina%20Copia/static-public.klickpages.com.br/uploads/media/file/5360677/thumb_img_0878-1-min4.png	(from https://fullhotmart.kpages.online/belladimua)
